,fold_0,fold_1,fold_2,fold_3,fold_4,fold_5,fold_6,fold_7,fold_8,fold_9,fold_10,fold_11,fold_12,fold_13,fold_14
potassium_first,0.010423481377385867,0.011420623387635193,0.010936337251575104,0.01203677293044557,0.010916113414059708,0.011210186102648885,0.012200200780257364,0.010402905567375303,0.01174405781840902,0.01197579580728827,0.012486157132626286,0.009998952149117224,0.011562889292532352,0.010911291141598532,0.011381506188000497
sodium_first,0.012226081512044714,0.013196131028539965,0.01516126014820076,0.01656509312448172,0.015604163875291276,0.012267235318764553,0.016612941502580372,0.014228613677539392,0.01411919644557802,0.014579869711684562,0.015829383104417238,0.014061365962168778,0.014668549490627873,0.015021190691379511,0.012900308656087888
total_bilirubin_first,0.0077492867502302245,0.006345072341187731,0.005013228078781087,0.004890345842397794,0.005406211704421968,0.0054160414727455735,0.006173931632155173,0.004728059039058334,0.0062267977477219365,0.004993246441323554,0.0057829730757822774,0.0053790298665726145,0.0055338087328353535,0.00615804905508963,0.006526124222679787
temperature_mean,0.0012829843063553918,0.000996401479603265,0.0015009294689091038,0.0011393824867210658,0.0017180503796126697,0.0013469829886261456,0.0015889893344720474,0.0009887114821088261,0.0009797127406286456,0.0013299329648034596,0.000943502025975855,0.0008616077688641654,0.0004688276775147694,0.0012499444713527275,0.0014259958212638189
sao2_mean,0.02644339549733949,0.022076110434180476,0.024031679374404546,0.025294080682804088,0.027613276158524123,0.024723893580558393,0.025636758519694793,0.023660097723572148,0.02345968775970668,0.026956814273864572,0.0272980660098537,0.02443852000392539,0.022172773688058207,0.03231170657408993,0.023281414779757665
heartrate_mean,0.021652681520839,0.023757025786621488,0.019053600108467333,0.02073607236052687,0.020878470031361264,0.021519235470466157,0.021735208579153852,0.02150184870241615,0.020882676741417226,0.0202410041326702,0.024741704475860406,0.019018610464649977,0.018583978695197876,0.019514181696745604,0.020650239888822516
respiration_mean,0.022513103287297175,0.022412142269402236,0.021089607220598106,0.027539024590856526,0.021784363313609223,0.02243621091189402,0.02373875123064031,0.021281895969917912,0.022203701438947305,0.020241891577045357,0.021326364750605183,0.021018194516968163,0.026422103432246838,0.01847290043369525,0.021386864384428723
systemicsystolic_mean,0.002709645011392189,0.003008232252194092,0.004136394519824847,0.003277538863954655,0.003404145470654296,0.0023817573803614545,0.0020222795632213724,0.003972212328521566,0.0032813080845890542,0.0036888995689971864,0.003010548330610008,0.002755810078798262,0.002437588934676102,0.004028903738379248,0.003610246067843625
systemicdiastolic_mean,0.0016764988576420863,0.0018760919741292376,0.0015416698848459648,0.0017243469489217893,0.0019624727933264647,0.0018549506749465795,0.001240993922082051,0.0023119911422146283,0.0021577112216463364,0.0020151234630889996,0.0018512371056135617,0.0016678756671955812,0.00169752951704681,0.0018442645818755581,0.0010693992168286685
systemicmean_mean,0.0027844168890964766,0.0019860948508958047,0.0024255109634813495,0.0025999139337332514,0.0026880048899208153,0.0018890521454363045,0.0019697626259185482,0.002852894574853385,0.002632093133429712,0.0029281743880490217,0.0024014184621072424,0.001988654875834345,0.002537300709546843,0.0018810986271793277,0.0026931861833286797
