model,threshold,nb_model,nb_treat_all,nb_treat_none
eicu_setA,0.13,-0.00017769100177049413,-0.050731851433195696,0.0
eicu_setA,0.14,-0.004075939826826712,-0.0629496636591631,0.0
eicu_setA,0.15,-0.008403361344537827,-0.07545495381985912,0.0
eicu_setA,0.16,-0.012026714205890965,-0.08825798898438128,0.0
eicu_setA,0.17,-0.016132325913824797,-0.10136953102033766,0.0
eicu_setA,0.18,-0.01954308609951437,-0.11480086676448809,0.0
eicu_setA,0.19,-0.023511746675588474,-0.12856384042824723,0.0
eicu_setA,0.2,-0.026494691748929038,-0.14267088843360032,0.0
eicu_setA,0.21,-0.029192433826632495,-0.15713507689478512,0.0
eicu_setA,0.22,-0.032771227034590796,-0.17197014198317984,0.0
eicu_setA,0.23,-0.03560604044865546,-0.1871905334375068,0.0
eicu_setA,0.24,-0.03754497064042112,-0.20281146150905294,0.0
eicu_setA,0.25,-0.040727633947972915,-0.218848947662507,0.0
eicu_setA,0.26,-0.04287878864150051,-0.23531987938767607,0.0
eicu_setA,0.27,-0.044586247279537285,-0.25224206951627437,0.0
eicu_setA,0.28,-0.0463359615901989,-0.2696343204817782,0.0
eicu_setA,0.29,-0.049113455176954826,-0.28751649400969054,0.0
eicu_setA,0.3,-0.05028869435649097,-0.30590958678125757,0.0
eicu_setA,0.31,-0.050736784708781776,-0.3248358126766381,0.0
eicu_setA,0.32,-0.05160343146385021,-0.344318692274824,0.0
eicu_setA,0.33,-0.05132838322820617,-0.36438315036847807,0.0
eicu_setA,0.34,-0.05347195177703655,-0.38505562234375806,0.0
eicu_setA,0.35000000000000003,-0.05435763714772841,-0.40636417037981587,0.0
eicu_setA,0.36,-0.054817005028869444,-0.42833861054200045,0.0
eicu_setA,0.37,-0.05505148604422213,-0.45101065197917506,0.0
eicu_setA,0.38,-0.05530554737771797,-0.4744140495917423,0.0
eicu_setA,0.39,-0.05343059274706955,-0.49858477171619725,0.0
eicu_setA,0.4,-0.05364127398025704,-0.5235611845781338,0.0
eicu_setA,0.41000000000000003,-0.051081064870205924,-0.5493842555031869,0.0
eicu_setA,0.42,-0.04977488905016666,-0.5760977771497935,0.0
eicu_setA,0.43,-0.05006976371829181,-0.6037486153454039,0.0
eicu_setA,0.44,-0.04903812894127665,-0.6323869834765719,0.0
eicu_setA,0.45,-0.04857854010396383,-0.6620667468125094,0.0
eicu_setA,0.46,-0.049136676255320325,-0.6928457606423708,0.0
eicu_setA,0.47000000000000003,-0.04896734221966073,-0.724786246692227,0.0
eicu_setA,0.48,-0.04785305958708827,-0.7579552129747698,0.0
eicu_setA,0.49,-0.043864742768032886,-0.7924249230330984,0.0
eicu_setA,0.5,-0.04414229837958651,-0.8282734214937606,0.0
eicu_setA,0.51,-0.04211630638472562,-0.8655851239732251,0.0
eicu_setA,0.52,-0.04058794313031602,-0.9044514807226673,0.0
eicu_setA,0.53,-0.0396127493134345,-0.9449717249933625,0.0
eicu_setA,0.54,-0.038344117194522506,-0.9872537190149573,0.0
